"Product Code","Product Name",Variant,Expected,Counted
6060,"ការ៉ូជញ្ជាំង 60x60",ម៉ែត្រការ៉េ,,
6060,"ការ៉ូជញ្ជាំង 60x60",កេស,10,
9999,"Singmang Semi-Automatic Divider Rounder",,-2.0000,
ABC001,"ABC Beer",can,19,
ABC001,"ABC Beer",Case,,
b0001,"Bank Charge",,168.0000,
b001,គ្រែតូច,,10.0000,
b002,កៅអី,,10.0000,
b003,ភួយ,,10.0000,
b004,ខ្នើយ,,10.0000,
Coca,Coca,can,,
Coca,Coca,Case,1,
DK001,Mocha,,-302.0000,
DK02,"Coco cola",can,4,
DK02,"Coco cola",Case,7,
DK03,Pepsi,can,18,
DK03,Pepsi,Case,5,
leang,leang,can,,
leang,leang,Case,1,
mouytest,mouy-test,,0.0000,
mouytest1,mouy-test1,,0.0000,
ug0010-00024-jjkhgrr5555,kklkkkk,,0.0000,
