Code,Name,Parent Category Code,Image name
Full Of Beans,Full Of Beans,Drinks,
Single Origin,Single Origin,Drinks,
Special,Special,Drinks,
Tea,Tea,Drinks,
Extra,Extra,Drinks,
Iced Drink,Iced Drink,Drinks,
Smoothies,Smoothies,Drinks,
Cordials,Cordials,Drinks,
Juice,Juice,Drinks,
Milkshakes,Milkshakes,Drinks,
Grab,Grab,Drinks,
Sandwich,Sandwich,Food,
Salad,Salad,Food,
Main,Main,Food,
Breakfast,Breakfast,Food,
Side,Side,Food,
Add Bf,Add Bf,Food,
Red Wine,Red Wine,Wine & Beer,
White Wine,White Wine,Wine & Beer,
Sparkling ,Sparkling ,Wine & Beer,
Beer,Beer,Wine & Beer,
Bakery,Bakery,Bakery&Pastry,
Pastry,Pastry,Bakery&Pastry,
